Riferimento,Versione,Predeterminato,Tipo,EAN13,Famiglia,Catalogo,"Tariffa Nazionale",Garanzia,"Etichetta V/F","Foglio dati",Descrizione,masterfile.tender_text,masterfile.codi_duaner,Materiale,Finit,Lungo,Ampiezza,Altezza,Proiezione,"Fonte di luce","Includi una lampadina","Efficienza energetica","Unità masterbox","Prodotto fuori catalogo","Lancio del prodotto","Pesce confezionato (kg)","Weight master box","Peso netto (Kg)","Unità di volume (m3)","Volume Master box (m3)","Length Box 1","Larghezza della scatola 1","Altezza scatola 1","Length Box 2","Larghezza della scatola 2","Altezza scatola 2","Length Box 3","Larghezza della scatola 3","Altezza scatola 3","Length MB 1","Ampiezza MB 1","Altezza MB 1","Length MB 2","Ampiezza MB 2","Altezza MB 2","Length MB 3","Ampiezza MB 3","Altezza MB 3","Watt (W)","Lumen (lm)","Real Lumens (lm)","Temperatura colore LED (K)",CRI,"Fascio di luce","Regolazione dei tipi",IP,IK,"Immagine Web","Immagine d'ambiente 1","Immagine d'ambiente 2","Immagine d'ambiente 3","Immagine di dettaglio 1","Immagine di dettaglio 2",IMC,EE,Fotometria,masterfile.ploma_comercial,Accessori,3D,masterfile.ies,masterfile.ldt,"Codi Kenya","Codi RETILAP","Marocco Codice","Codice Paese 4","Codice Paese 5","Codice Paese 6",Modello
AG11-P7V9M2OU14,V0,Sì,"Incassi a soffitto",8435629765054,"Play Flat Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG11-P7V9M2OU14.html,"INCASSI A SOFFITTO PLAY FLAT ROUND FIXED LED 8.5W 2700K CRI 92 27.8º ON-OFF BIA","LedsC4 Play Flat Round Fixed AG11-P7V9M2OU14  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.18 Larghezza o diametro del prodotto (mm): 65 Altezza del prodotto (mm): 67 Ø del foro per incasso (mm): 58 Spessore del soffitto ammesso: 0-13  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 16.3. Rischio fotobiologico: RG1. Flusso reale (lm): 640. Lm/W reali: 75. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,65,67,,,Sì,F,16,"Descatalogado IT",2021,"0,25",4,"0,18","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,640,2700K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG11-P7V9M2OU14,,,,,,https://files.ledsc4.com/imc/AG11-P7V9M2OU14.html,https://files.ledsc4.com/el/AG11-P7V9M2OU14.html,https://files.ledsc4.com/fm/AG11-P7V9M2OU14.html,,https://files.ledsc4.com/ft3/it/AG11-P7V9M2OU14.html,https://files.ledsc4.com/3d/AG11-P7V9M2OU14.html,https://files.ledsc4.com/ies/AG11-P7V9M2OU14.html,https://files.ledsc4.com/ldt/AG11-P7V9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Flat Round Fixed"
AG12-P7V9M2OU14,V0,Sì,"Incassi a soffitto",8435629767898,"Play Flat Round Adjustable",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG12-P7V9M2OU14.html,"INCASSI A SOFFITTO PLAY FLAT ROUND ADJUSTABLE LED 8.5W 2700K CRI 92 27.7º ON-OF","LedsC4 Play Flat Round Adjustable AG12-P7V9M2OU14  Incassi a soffitto per illuminare verso il basso.  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.22 Larghezza o diametro del prodotto (mm): 78 Altezza del prodotto (mm): 71 Ø del foro per incasso (mm): 68 Spessore del soffitto ammesso: 0-15  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 16.5. Rischio fotobiologico: RG1. Flusso reale (lm): 635. Lm/W reali: 75. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,78,71,,,Sì,F,16,"Descatalogado IT",2021,"0,28","4,48","0,22","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,635,2700K,92,MEDIUM,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG12-P7V9M2OU14,,,,,,https://files.ledsc4.com/imc/AG12-P7V9M2OU14.html,https://files.ledsc4.com/el/AG12-P7V9M2OU14.html,https://files.ledsc4.com/fm/AG12-P7V9M2OU14.html,,https://files.ledsc4.com/ft3/it/AG12-P7V9M2OU14.html,https://files.ledsc4.com/3d/AG12-P7V9M2OU14.html,https://files.ledsc4.com/ies/AG12-P7V9M2OU14.html,https://files.ledsc4.com/ldt/AG12-P7V9M2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Flat Round Adjustable"
AG24-P7V9F1OUWP,V0,Sì,"Incassi a soffitto",8435629798137,"Play Deco Symmetrical Round Fixed Trimless",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG24-P7V9F1OUWP.html,"INCASSI A SOFFITTO PLAY DECO SYMMETRICAL ROUND FIXED TRIMLESS LED 8.5W 2700K CRI","LedsC4 Play Deco Symmetrical Round Fixed Trimless AG24-P7V9F1OUWP  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Policarbonato, Alluminio. Finitura struttura: Trimless/Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.23 Lunghezza del prodotto (mm): 127 Altezza del prodotto (mm): 95 Ø del foro per incasso (mm): 75 Spessore del soffitto ammesso: 0-15  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 6.4W. Temperatura di colore: 2700K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 15.4. Rischio fotobiologico: RG1. Flusso reale (lm): 618. Lm/W reali: 73. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Policarbonato, Alluminio, PMMA","Trimless/Bianco, Trasparente",127,,95,,,Sì,F,16,"Descatalogado IT",2021,"0,3","4,8","0,23","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"8,5",,618,2700K,92,FLOOD,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG24-P7V9F1OUWP,,,,,,https://files.ledsc4.com/imc/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/el/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/fm/AG24-P7V9F1OUWP.html,,https://files.ledsc4.com/ft3/it/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/3d/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/ies/AG24-P7V9F1OUWP.html,https://files.ledsc4.com/ldt/AG24-P7V9F1OUWP.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Deco Symmetrical Round Fixed Trimless"
AG43-13W9F1OU14,V0,Sì,"Incassi a soffitto",8445386042077,"Play IP65 Glass Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG43-13W9F1OU14.html,"INCASSI A SOFFITTO PLAY IP65 GLASS ROUND FIXED LED 14.3W 3000K CRI 92 44.3º ON-","LedsC4 Play IP65 Glass Round Fixed AG43-13W9F1OU14  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.32 Larghezza o diametro del prodotto (mm): 92 Altezza del prodotto (mm): 100 Ø del foro per incasso (mm): 68 Spessore del soffitto ammesso: 0-20  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP65. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 11.9W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 20.8. Rischio fotobiologico: RG1. % de Flickering: &lt;5%. Flusso reale (lm): 1296. Lm/W reali: 91. Intervallo di tensione / frequenza: 100-240/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 14.3. Fattore di potenza: 0.88. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, Vetro","Bianco, Trasparente",,92,100,,,Sì,F,16,"Descatalogado IT",2021,"0,38","6,08","0,32","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"14,3",,1296,3000K,92,FLOOD,ON-OFF,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG43-13W9F1OU14,,,,,,https://files.ledsc4.com/imc/AG43-13W9F1OU14.html,https://files.ledsc4.com/el/AG43-13W9F1OU14.html,https://files.ledsc4.com/fm/AG43-13W9F1OU14.html,,https://files.ledsc4.com/ft3/it/AG43-13W9F1OU14.html,https://files.ledsc4.com/3d/AG43-13W9F1OU14.html,https://files.ledsc4.com/ies/AG43-13W9F1OU14.html,https://files.ledsc4.com/ldt/AG43-13W9F1OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Glass Round Fixed"
AG56-18W9S2OU14,V0,Sì,"Incassi a soffitto",8445386061696,"Play Snoot Round Adjustable",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG56-18W9S2OU14.html,"INCASSI A SOFFITTO PLAY SNOOT ROUND ADJUSTABLE LED 19.8W 3000K CRI 92 18.9º ON-","LedsC4 Play Snoot Round Adjustable AG56-18W9S2OU14  Incassi a soffitto per illuminare verso il basso.  Sorgente luminosa orientabile. Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: PMMA. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.38 Larghezza o diametro del prodotto (mm): 95 Altezza del prodotto (mm): 120 Ø del foro per incasso (mm): 85 Spessore del soffitto ammesso: 0-18  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP54. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 17.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 15.4. Rischio fotobiologico: RG1. % de Flickering: +/- 3%. Flusso reale (lm): 1572. Lm/W reali: 79. Intervallo di tensione / frequenza: 100-240V/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 19.8. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,"Alluminio, PMMA","Bianco, Trasparente",,95,120,,,Sì,F,16,"Descatalogado IT",2021,"0,44","7,04","0,38","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"19,8",,1572,3000K,92,SPOT+HONEYCOMB,ON-OFF,"IN IP20 / OUT IP54",,https://files.ledsc4.com/main-photo/AG56-18W9S2OU14,,,,,,https://files.ledsc4.com/imc/AG56-18W9S2OU14.html,https://files.ledsc4.com/el/AG56-18W9S2OU14.html,https://files.ledsc4.com/fm/AG56-18W9S2OU14.html,,https://files.ledsc4.com/ft3/it/AG56-18W9S2OU14.html,https://files.ledsc4.com/3d/AG56-18W9S2OU14.html,https://files.ledsc4.com/ies/AG56-18W9S2OU14.html,https://files.ledsc4.com/ldt/AG56-18W9S2OU14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play Snoot Round Adjustable"
AG16-18W9S2DS14,V0,Sì,"Incassi a soffitto",8435629776746,"Play IP65 Round Fixed",Architectural,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/AG16-18W9S2DS14.html,"INCASSI A SOFFITTO PLAY IP65 ROUND FIXED LED 19.8W 3000K CRI 92 19.1º DALI-2/PU","LedsC4 Play IP65 Round Fixed AG16-18W9S2DS14  Incassi a soffitto per illuminare verso il basso.  Materiale della struttura: Alluminio. Finitura struttura: Bianco. Materiale del diffusore: Vetro. Finitura diffusore: Trasparente. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.81 Larghezza o diametro del prodotto (mm): 93 Altezza del prodotto (mm): 120 Ø del foro per incasso (mm): 65 Spessore del soffitto ammesso: 0-20  Classe 2. Luminaria non adatta per essere rivestita con materiali isolanti. Prova filo incandescente: 850. IP: IN IP20 / OUT IP65. LED. Nº di portalampada o Leds: 1. Marchio del LED: CREE. Marchio del driver: VOSSLOH-SCHWABE. Potenza massima della sorgente luminosa: 17.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 2. Ore di vita: 50.000h L80B20. UGR: 19.9. Rischio fotobiologico: RG1. % de Flickering: &lt;5%. Flusso reale (lm): 1548. Lm/W reali: 78. Intervallo di tensione / frequenza: 100-240V/50-60Hz. Voltaggio: 36. Dispositivo incluso: Sì. Potenza totale: 19.8. Fattore di potenza: 0.80. Dispositivo regolabile incluso: DALI-2/PUSH.",9405119090,"Alluminio, Vetro","Bianco, Trasparente",,93,120,,,Sì,F,16,"Descatalogado IT",2021,"0,87","13,92","0,81","0,004","0,064",170,120,120,,,,,,,,,,,,,,,,"19,8",,1548,3000K,92,SPOT+HONEYCOMB,DALI-2/PUSH,"IN IP20 / OUT IP65",,https://files.ledsc4.com/main-photo/AG16-18W9S2DS14,,,,,,https://files.ledsc4.com/imc/AG16-18W9S2DS14.html,https://files.ledsc4.com/el/AG16-18W9S2DS14.html,https://files.ledsc4.com/fm/AG16-18W9S2DS14.html,,https://files.ledsc4.com/ft3/it/AG16-18W9S2DS14.html,https://files.ledsc4.com/3d/AG16-18W9S2DS14.html,https://files.ledsc4.com/ies/AG16-18W9S2DS14.html,https://files.ledsc4.com/ldt/AG16-18W9S2DS14.html,,RETILAP-DOWNLIGHT,DW-LED-II,,,,"Play IP65 Round Fixed"
DE-0024-NEG,V0,Sì,Sospensioni,8435629748613,"Riba Ø350mm",Forlight,"106,9",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/it/DE-0024-NEG.html,"SOSPENSIONI RIBA Ø350MM E27 15W NERO","LedsC4 Riba Ø350mm DE-0024-NEG  Sospensioni per illuminare verso il basso.  Materiale della struttura: Acciaio. Finitura struttura: Nero. Materiale del diffusore: Legno. Finitura diffusore: Natural. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 0.48 Larghezza o diametro del prodotto (mm): 350 Altezza del prodotto (mm): 1700  Classe 1. IP: IP20. Potenza totale: 15.",9405199090,"Acciaio, Legno","Nero, Natural",,350,1700,,,No,"NA EPREL",1,"Discontinuo IT",2021,"1,41","1,41","0,48","0,053","0,053",380,380,365,,,,,,,,,,,,,,,,15,,,,,,,IP20,,https://files.ledsc4.com/main-photo/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0024-NEG,https://files.ledsc4.com/ambience-photo/3/DE-0024-NEG,https://files.ledsc4.com/detail-photo/1/DE-0024-NEG,https://files.ledsc4.com/detail-photo/2/DE-0024-NEG,https://files.ledsc4.com/imc/DE-0024-NEG.html,,,,,,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
DE-0015-BLA,V0,Sì,"Serie di faretti",8445386076560,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/DE-0015-BLA.html,"SERIE DI FARETTI LOGOS DOUBLE LED 3000K ON-OFF BIANCO 564LM","LedsC4 Logos Double DE-0015-BLA  Serie di faretti per illuminare frontalmente e verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio. Finitura struttura: Bianco. Materiale del diffusore: Policarbonato. Finitura diffusore: Prismatico. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.7 Lunghezza del prodotto (mm): 365 Altezza del prodotto (mm): 126 Fuoriuscita del prodotto: 156  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 2. Potenza massima della sorgente luminosa: 3.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. UGR: 27.0. Rischio fotobiologico: RG0. Flusso reale (lm): 564. Flusso nominale (lm): 840. Lm/W reali: 67. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.4. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Acciaio, Policarbonato","Bianco, Prismatico",365,,126,156,"2xLED 3.7 840.00 lm",Sì,F,12,"Descatalogado IT",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0015-BLA,,,,https://files.ledsc4.com/detail-photo/1/DE-0015-BLA,https://files.ledsc4.com/detail-photo/2/DE-0015-BLA,https://files.ledsc4.com/imc/DE-0015-BLA.html,https://files.ledsc4.com/el/DE-0015-BLA.html,https://files.ledsc4.com/fm/DE-0015-BLA.html,,,,https://files.ledsc4.com/ies/DE-0015-BLA.html,https://files.ledsc4.com/ldt/DE-0015-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-BLA,V0,Sì,"Serie di faretti",8445386076584,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/DE-0016-BLA.html,"SERIE DI FARETTI LOGOS TRIPLE LED 3000K ON-OFF BIANCO 846LM","LedsC4 Logos Triple DE-0016-BLA  Serie di faretti per illuminare frontalmente e verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio. Finitura struttura: Bianco. Materiale del diffusore: Policarbonato. Finitura diffusore: Prismatico. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.05 Lunghezza del prodotto (mm): 568 Altezza del prodotto (mm): 126 Fuoriuscita del prodotto: 156  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 3. Potenza massima della sorgente luminosa: 3.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. UGR: 27.0. Rischio fotobiologico: RG0. Flusso reale (lm): 846. Flusso nominale (lm): 1260. Lm/W reali: 67. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 12.6. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Acciaio, Policarbonato","Bianco, Prismatico",568,,126,156,"3xLED 3.7 1260.00 lm",Sì,F,12,"Descatalogado IT",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0016-BLA,,,,,,https://files.ledsc4.com/imc/DE-0016-BLA.html,https://files.ledsc4.com/el/DE-0016-BLA.html,https://files.ledsc4.com/fm/DE-0016-BLA.html,,,,https://files.ledsc4.com/ies/DE-0016-BLA.html,https://files.ledsc4.com/ldt/DE-0016-BLA.html,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0015-NEG,V0,Sì,"Serie di faretti",8445386076577,"Logos Double",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/DE-0015-NEG.html,"SERIE DI FARETTI LOGOS DOUBLE LED 3000K ON-OFF NERO 564LM","LedsC4 Logos Double DE-0015-NEG  Serie di faretti per illuminare frontalmente e verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Prismatico. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 0.7 Lunghezza del prodotto (mm): 365 Altezza del prodotto (mm): 126 Fuoriuscita del prodotto: 156  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 2. Potenza massima della sorgente luminosa: 3.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. UGR: 27.0. Rischio fotobiologico: RG0. Flusso reale (lm): 564. Flusso nominale (lm): 840. Lm/W reali: 67. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 8.4. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Acciaio, Policarbonato","Nero, Prismatico",365,,126,156,"2xLED 3.7 840.00 lm",Sì,F,12,"Descatalogado IT",2021,"0,98","11,76","0,7","0,002","0,024",375,55,90,,,,,,,,,,,,,,,,"8,4","840,00",564,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0015-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0015-NEG,,,https://files.ledsc4.com/detail-photo/1/DE-0015-NEG,https://files.ledsc4.com/detail-photo/2/DE-0015-NEG,https://files.ledsc4.com/imc/DE-0015-NEG.html,https://files.ledsc4.com/el/DE-0015-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
DE-0016-NEG,V0,Sì,"Serie di faretti",8445386076591,"Logos Triple",Forlight,,2,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/DE-0016-NEG.html,"SERIE DI FARETTI LOGOS TRIPLE LED 3000K ON-OFF NERO 846LM","LedsC4 Logos Triple DE-0016-NEG  Serie di faretti per illuminare frontalmente e verso il basso.  Il modulo ottico può ruotare facilmente fino a 360º. Materiale della struttura: Acciaio. Finitura struttura: Nero. Materiale del diffusore: Policarbonato. Finitura diffusore: Prismatico. Garanzia: 2 Anni.  Peso netto del prodotto (Kg): 1.05 Lunghezza del prodotto (mm): 568 Altezza del prodotto (mm): 126 Fuoriuscita del prodotto: 156  Classe 1. IP: IP20. LED. Nº di portalampada o Leds: 3. Potenza massima della sorgente luminosa: 3.7W. Temperatura di colore: 3000K. Indice di riproduzione cromatica: 80. Steps Mac Adam: 3. Ore di vita: 36.000h L70B30. UGR: 27.0. Rischio fotobiologico: RG0. Flusso reale (lm): 846. Flusso nominale (lm): 1260. Lm/W reali: 67. Intervallo di tensione / frequenza: 200-240/50-60Hz. Voltaggio: 9. Dispositivo incluso: Sì. Potenza totale: 12.6. Fattore di potenza: 0.50. Dispositivo regolabile incluso: ON-OFF.",9405421000,"Acciaio, Policarbonato","Nero, Prismatico",568,,126,156,"3xLED 3.7 1260.00 lm",Sì,F,12,"Descatalogado IT",2021,"1,33","15,96","1,05","0,004","0,048",575,65,90,,,,,,,,,,,,,,,,"12,6","1260,00",846,3000K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0016-NEG,https://files.ledsc4.com/ambience-photo/2/DE-0016-NEG,,,,https://files.ledsc4.com/imc/DE-0016-NEG.html,https://files.ledsc4.com/el/DE-0016-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
00-8391-05-05,V0,No,Sospensioni,8445386076270,"Noway Small",Decorative,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/it/00-8391-05-05.html,"SOSPENSIONI NOWAY SMALL LED 18.5W SW 2700-3000-4000K ON-OFF NERO 618LM","LedsC4 Noway Small 00-8391-05-05  Sospensioni per illuminare verso il basso.  Materiale della struttura: Acciaio. Finitura struttura: Nero. Garanzia: 5 Anni.  Peso netto del prodotto (Kg): 2.35 Larghezza o diametro del prodotto (mm): 350 Altezza del prodotto (mm): 1200  Classe 1. Prova filo incandescente: 850. IP: IP20. LED. Nº di portalampada o Leds: 1. Marchio del driver: HEP. Potenza massima della sorgente luminosa: 16.5W. Temperatura di colore: SW 2700-3000-4000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 26.0. Rischio fotobiologico: RG0. Flusso reale (lm): 618. Lm/W reali: 33. Intervallo di tensione / frequenza: 220-240/50-60Hz. Voltaggio: 3. Temperatura di colore: SW 2700-3000-4000K. Indice di riproduzione cromatica: 92. Steps Mac Adam: 3. Ore di vita: 50.000h L80B20. UGR: 26.0. Rischio fotobiologico: RG0. Flusso reale (lm): 618. Lm/W reali: 33. Voltaggio: 3. Dispositivo incluso: Sì. Potenza totale: 18.5. Fattore di potenza: 0.90. Dispositivo regolabile incluso: ON-OFF.",9405119090,Acciaio,Nero,,350,1200,,,Sì,F,1,"Discontinuo IT",2021,"3,7","3,7","2,35","0,045","0,045",406,406,270,,,,,,,,,,,,,,,,"18,5",,618,"SW 2700-3000-4000K",92,SPOT,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/00-8391-05-05,,,,https://files.ledsc4.com/detail-photo/1/00-8391-05-05,,https://files.ledsc4.com/imc/00-8391-05-05.html,https://files.ledsc4.com/el/00-8391-05-05.html,https://files.ledsc4.com/fm/00-8391-05-05.html,,,https://files.ledsc4.com/3d/00-8391-05-05.html,https://files.ledsc4.com/ies/00-8391-05-05.html,https://files.ledsc4.com/ldt/00-8391-05-05.html,,,FX-LED-I,,,,"Noway Pendant Small"
